field,dtype,missing_n,missing_pct,distinct_nonmissing
season,int64,0,0.0,3
round,int64,0,0.0,22
race_name,object,0,0.0,34
circuit_id,string,0,0.0,29
race_date,object,0,0.0,60
driver_id,string,0,0.0,28
driver_name,object,0,0.0,28
constructor_id,string,0,0.0,13
grid,int64,0,0.0,21
position,int64,0,0.0,20
position_text,string,0,0.0,23
status,string,0,0.0,39
points,float64,0,0.0,23
laps,int64,0,0.0,72
qualifying_position,float64,3,0.25,20
q1,object,20,1.6666666666666667,1160
q2,object,313,26.083333333333332,869
q3,object,616,51.33333333333333,577
q1_seconds,float64,20,1.6666666666666667,1160
q2_seconds,float64,313,26.083333333333332,869
q3_seconds,float64,616,51.33333333333333,577
qualifying_match,category,0,0.0,2
top10,bool,0,0.0,2
scored_points,bool,0,0.0,2
qualifying_band,category,0,0.0,4
