season,qualifying_band,driver_race_rows,top10_n,top10_rate_pct,scored_points_rate_pct
2019,P1–P10,210,152,72.38095238095238,72.38095238095238
2019,P11–P15,105,41,39.04761904761905,39.04761904761905
2019,P16+,103,16,15.53398058252427,15.53398058252427
2019,No qualifying record,2,1,50.0,50.0
2020,P1–P10,170,126,74.11764705882354,74.11764705882354
2020,P11–P15,85,36,42.35294117647059,42.35294117647059
2020,P16+,85,8,9.411764705882353,9.411764705882353
2021,P1–P10,220,167,75.9090909090909,75.9090909090909
2021,P11–P15,110,43,39.09090909090909,39.09090909090909
2021,P16+,109,10,9.174311926605505,9.174311926605505
2021,No qualifying record,1,0,0.0,0.0
